task,category,style_consistent,phrase_lo,succ_lo,n_lo,phrase_hi,succ_hi,n_hi,gap_pp,z,change
widowx_carrot_on_sponge_clean,slight restructure,True,Set the orange carrot on top of the yellow and green block.,8.3,48,Set the orange carrot on top of the green and yellow block.,29.2,48,20.8,2.61,reorder/determiners
widowx_carrot_on_sponge_clean,verb synonym,True,put the carrot on the sponge.,25.0,48,place the carrot on the sponge.,45.8,48,20.8,2.13,place -> put
widowx_nut_on_wheel_clean,noun/adjective synonym,True,Grab the nut and place it on the black wheel.,0.0,48,Grab the nut and place it on the black tire.,20.8,24,20.8,3.28,tire -> wheel
widowx_eggplant_on_sponge_clean,verb synonym,False,place the eggplant on the sponge.,66.7,24,Put the eggplant on the sponge,87.5,48,20.8,2.11,put -> place
widowx_eggplant_on_sponge_clean,case/punctuation only,False,put the eggplant on the sponge.,66.7,48,Put the eggplant on the sponge,87.5,48,20.8,2.43, -> 
widowx_eggplant_on_keyboard_clean,verb synonym,False,Leave the eggplant on the keyboard.,4.2,48,place the eggplant on the keyboard.,25.0,24,20.8,2.65,leave -> place
widowx_eggplant_on_keyboard_clean,verb synonym,False,Leave the eggplant on the keyboard.,4.2,48,rest the eggplant on the keyboard,25.0,48,20.8,2.89,leave -> rest
widowx_pepsi_on_plate_clean,verb synonym,True,set the blue can on the yellow plate,25.0,264,drop the blue can on the yellow plate,45.8,24,20.8,2.21,drop -> set
widowx_coke_can_on_wheel_clean,verb synonym,False,put the red soda can on the wheel,4.2,24,Place the red soda can on the wheel.,25.0,24,20.8,2.04,place -> put
widowx_coke_can_on_keyboard_clean,verb synonym,False,take the red coke can and put it on the black keyboard,0.0,24,Grab the red coke can and put it on the black keyboard.,20.8,24,20.8,2.36,grab -> take
widowx_cube_on_plate_clean,noun/adjective synonym,True,Set the teal block on the yellow plate.,56.2,48,Set the green block on the yellow plate.,77.1,48,20.8,2.17,green -> teal
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,True,set the red can onto the black keyboard,2.1,96,set the coke can onto the black keyboard,22.9,48,20.8,4.11,coke -> red
widowx_carrot_on_sponge_clean,case/punctuation only,False,put the carrot on the sponge.,25.0,48,Put the carrot on the sponge,45.8,48,20.8,2.13, -> 
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,False,put the beverage can on the keyboard,0.0,24,Put the cola can on the keyboard.,20.8,24,20.8,2.36,cola -> beverage
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Drop the coke can onto the plate.,35.4,48,drop the pepsi can onto the plate,56.2,48,20.8,2.05,coke -> pepsi
widowx_carrot_on_ramekin_clean,verb synonym,True,Place the orange carrot on the white ramekin.,4.2,24,Put the orange carrot on the white ramekin.,25.0,24,20.8,2.04,place -> put
widowx_coke_can_on_wheel_clean,verb synonym,True,Put the red can on the black wheel.,4.2,24,Place the red can on the black wheel.,25.0,24,20.8,2.04,place -> put
widowx_pepsi_on_plate_clean,verb synonym,True,Drop the Pepsi can onto the plate.,25.0,120,put the Pepsi can onto the plate.,45.8,24,20.8,2.06,drop -> put
widowx_stack_cube,noun/adjective synonym,True,Put the green block on the yellow block.,28.2,39,Stack the green block on the yellow block.,49.0,51,20.8,2.0,put -> stack
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,False,put the beverage can on the keyboard,0.0,24,put the Coke can on the keyboard,20.8,24,20.8,2.36,coke -> beverage
widowx_nut_on_plate_clean,verb synonym,False,move the nut onto the plate.,16.7,24,Drop the nut onto the plate.,37.5,216,20.8,2.02,drop -> move
widowx_orange_juice_on_plate_clean,noun/adjective synonym,True,put the juice carton onto the plate,20.8,48,put the juice box onto the plate,41.7,48,20.8,2.2,box -> carton
widowx_eggplant_on_keyboard_clean,slight restructure,False,put the eggplant on the keyboard.,16.7,24,put eggplant on keyboard,37.5,672,20.8,2.08,reorder/determiners
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,False,set the red soda can on the black keyboard,4.2,144,Set the red beverage can on the black keyboard,25.0,24,20.8,3.67,beverage -> soda
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,False,Set the red can on the black keyboard,8.3,48,set the red soda on the black keyboard,29.2,24,20.8,2.32,can -> soda
widowx_nut_on_wheel_clean,preposition synonym,False,put the nut onto the tire,4.2,48,Put the nut on the tire.,25.0,216,20.8,3.19,on -> onto
widowx_coke_can_on_wheel_clean,noun/adjective synonym,False,Set the red can onto the black rubber tire.,10.4,48,set the red can onto the black rubber wheel,31.2,96,20.8,2.75,tire -> wheel
widowx_eggplant_on_keyboard_clean,noun/adjective synonym,False,put the eggplant across the keyboard,4.2,24,Put the eggplant on the keyboard,25.0,24,20.8,2.04,on -> across
widowx_nut_on_wheel_clean,preposition synonym,False,put the nut onto the tire,4.2,48,put the nut on the tire.,25.0,24,20.8,2.65,on -> onto
widowx_coke_can_on_keyboard_clean,verb synonym,False,Slide the red can onto the black keyboard,0.0,72,place the red can onto the black keyboard,20.8,48,20.8,4.05,slide -> place
widowx_carrot_on_ramekin_clean,verb synonym,False,Move the carrot to the bowl.,8.3,48,set the carrot to the bowl,29.2,24,20.8,2.32,move -> set
widowx_eggplant_on_sponge_clean,verb synonym,False,set the purple eggplant onto the yellow and green sponge,70.8,144,Deposit the purple eggplant onto the yellow and green sponge.,91.7,24,20.8,2.15,deposit -> set
widowx_carrot_on_ramekin_clean,preposition synonym,True,Place the orange carrot on the white ramekin.,4.2,24,Place the orange carrot in the white ramekin.,25.0,24,20.8,2.04,in -> on
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,Place the blue soda can on the yellow plate.,25.0,240,Place the blue Pepsi can on the yellow plate.,45.8,48,20.8,2.92,pepsi -> soda
widowx_cube_on_plate_clean,noun/adjective synonym,True,Put the teal block onto the center of the yellow plate.,47.9,48,Put the green block onto the center of the yellow plate.,68.8,48,20.8,2.07,green -> teal
widowx_eggplant_on_sponge_clean,verb synonym,True,pop the purple eggplant onto the sponge,58.3,24,set the purple eggplant onto the sponge,79.2,144,20.8,2.22,pop -> set
widowx_cube_on_plate_clean,verb synonym,False,set the green block on the yellow plate,54.2,48,Deposit the green block on the yellow plate.,75.0,48,20.8,2.13,deposit -> set
widowx_pepsi_on_plate_clean,preposition synonym,True,Move the blue can to the plate.,16.7,48,Move the blue can onto the plate.,37.5,168,20.8,2.71,onto -> to
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,True,Put the beverage can on the keyboard.,0.0,96,Put the cola can on the keyboard.,20.8,24,20.8,4.57,beverage -> cola
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,False,Put the beverage can on the keyboard.,0.0,96,put the Coke can on the keyboard,20.8,24,20.8,4.57,beverage -> coke
widowx_coke_can_on_wheel_clean,noun/adjective synonym,True,set the can on the wheel,0.0,24,set the coke on the wheel,20.8,72,20.8,2.43,can -> coke
widowx_pepsi_on_plate_clean,verb synonym,True,Move the blue coke can onto the yellow plate.,29.2,48,Place the blue coke can onto the yellow plate.,50.0,96,20.8,2.38,move -> place
widowx_cube_on_plate_clean,preposition synonym,False,put the green block onto the yellow plate,58.3,48,Put the green block on the yellow plate.,79.2,48,20.8,2.2,on -> onto
widowx_carrot_on_ramekin_clean,verb synonym,False,Place the orange carrot on the white ramekin.,4.2,24,put the orange carrot on the white ramekin,25.0,24,20.8,2.04,place -> put
widowx_carrot_on_ramekin_clean,verb synonym,False,Stick the carrot in the bowl.,14.0,264,set the carrot in the bowl,34.7,72,20.7,4.01,stick -> set
widowx_eggplant_on_keyboard_clean,verb synonym,False,Move the eggplant onto the keyboard.,16.7,48,Place the eggplant onto the keyboard,37.1,264,20.5,2.75,move -> place
widowx_pepsi_on_plate_clean,verb synonym,False,put the blue can onto the yellow plate,9.7,72,Set the blue can onto the yellow plate.,30.2,96,20.5,3.2,set -> put
widowx_eggplant_on_keyboard_clean,noun/adjective synonym,True,Get the eggplant onto the keyboard,16.7,48,Place the eggplant onto the keyboard,37.1,264,20.5,2.75,get -> place
widowx_coke_can_on_keyboard_clean,case/punctuation only,False,grab the soda and place it on the computer keyboard,6.2,48,Grab the soda and place it on the computer keyboard.,26.7,240,20.4,3.06, -> 
widowx_cube_on_plate_clean,verb synonym,False,put the green block onto the yellow plate,58.3,48,Move the green block onto the yellow plate.,78.7,216,20.4,2.95,move -> put
widowx_stack_cube,noun/adjective synonym,False,put the green block on the yellow block,28.6,63,Stack the green block on the yellow block.,49.0,51,20.4,2.24,stack -> put
widowx_nut_on_plate_clean,noun/adjective synonym,True,get the nut on the plate,25.6,168,drop the nut on the plate,45.8,72,20.2,3.09,drop -> get
widowx_nut_on_plate_clean,noun/adjective synonym,False,get the nut on the plate,25.6,168,Put the nut on the plate,45.8,72,20.2,3.09,put -> get
widowx_nut_on_wheel_clean,preposition synonym,False,put the nut to the tire,8.3,24,Put the nut onto the tire.,28.6,168,20.2,2.11,onto -> to
widowx_coke_can_on_wheel_clean,verb synonym,False,set the red soda can in the black tire,22.9,96,Place the red soda can in the black tire.,43.1,144,20.1,3.2,place -> set
widowx_cube_on_plate_clean,verb synonym,True,set the green block on the plate,71.5,144,drop the green block on the plate,91.7,48,20.1,2.85,drop -> set
widowx_eggplant_on_sponge_clean,noun/adjective synonym,True,Place the purple thing on the yellow and green sponge.,54.2,24,Place the purple eggplant on the yellow and green sponge.,74.3,144,20.1,2.02,eggplant -> thing
widowx_eggplant_on_keyboard_clean,verb synonym,True,Put the eggplant on the black keyboard.,31.2,144,Place the eggplant on the black keyboard.,51.4,72,20.1,2.88,place -> put
widowx_coke_can_on_wheel_clean,preposition synonym,False,put the red soda can on the black tire,18.8,48,Put the red soda can onto the black tire.,38.9,72,20.1,2.34,onto -> on
widowx_orange_juice_on_plate_clean,noun/adjective synonym,True,Put the orange juice on the yellow plate.,17.4,144,Put the orange juice on the circular plate.,37.5,24,20.1,2.27,circular -> yellow
widowx_eggplant_on_keyboard_clean,verb synonym,True,Place the eggplant on top of the keyboard.,4.9,144,Put the eggplant on top of the keyboard.,25.0,24,20.1,3.42,place -> put
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,set the blue can on the plate,38.2,144,set that blue can on the plate,58.3,48,20.1,2.44,that -> the
widowx_stack_cube,noun/adjective synonym,True,put the green cube on the yellow one,33.3,54,put the green cube on the yellow cube,53.3,45,20.0,2.0,cube -> one
widowx_cube_on_plate_clean,case/punctuation only,False,pick up the green cube and place it on the plate,75.0,96,Pick up the green cube and place it on the plate.,95.0,504,20.0,6.57, -> 
widowx_carrot_on_sponge_clean,preposition synonym,False,put the carrot onto the sponge,26.0,96,Put the carrot on the sponge,45.8,48,19.8,2.39,on -> onto
widowx_cube_on_plate_clean,verb synonym,False,Move the green cube onto the yellow plate.,57.3,96,set the green cube onto the yellow plate,77.1,96,19.8,2.92,move -> set
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Put the blue can on the plate.,30.2,96,put the blue soda on the plate,50.0,168,19.8,3.13,can -> soda
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,set the coke can on the plate,25.0,96,set the pepsi can on the plate,44.8,192,19.8,3.26,coke -> pepsi
widowx_orange_juice_on_plate_clean,noun/adjective synonym,False,Put the juice box onto the yellow dish.,4.2,24,put the juice carton onto the yellow dish,24.0,96,19.8,2.17,box -> carton
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Set the coke can on the plate.,25.0,48,set the pepsi can on the plate,44.8,192,19.8,2.5,coke -> pepsi
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Put the blue can on the plate.,30.2,96,Put the blue soda on the plate,50.0,48,19.8,2.32,can -> soda
widowx_eggplant_on_keyboard_clean,preposition synonym,False,Set the purple eggplant onto the black keyboard.,32.3,192,set the purple eggplant on the black keyboard,51.9,360,19.7,4.42,onto -> on
widowx_carrot_on_ramekin_clean,noun/adjective synonym,True,Set the carrot down inside the bowl.,12.5,48,Set the carrot down inside the ramekin.,32.1,168,19.6,2.68,bowl -> ramekin
widowx_eggplant_on_keyboard_clean,verb synonym,False,Place the purple eggplant on the black keyboard.,32.4,312,set the purple eggplant on the black keyboard,51.9,360,19.6,5.11,place -> set
widowx_eggplant_on_sponge_clean,verb synonym,False,Move the purple eggplant onto the sponge.,59.5,168,set the purple eggplant onto the sponge,79.2,144,19.6,3.73,move -> set
widowx_eggplant_on_keyboard_clean,noun/adjective synonym,False,Move the eggplant to the keyboard.,5.4,168,give the eggplant to the keyboard,25.0,72,19.6,4.41,move -> give
widowx_eggplant_on_keyboard_clean,noun/adjective synonym,False,Move the eggplant to the keyboard.,5.4,168,Give the eggplant to the keyboard,25.0,192,19.6,5.09,give -> move
widowx_cube_on_plate_clean,verb synonym,True,Transfer the green cube to the plate.,63.7,168,Set the green cube to the plate.,83.3,48,19.6,2.57,set -> transfer
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Place the blue can onto the yellow dish.,16.0,144,place the blue can onto the yellow plate,35.4,48,19.4,2.87,dish -> plate
widowx_carrot_on_sponge_clean,preposition synonym,False,pick up the carrot and place it on the sponge,23.6,72,Pick up the carrot and place it onto the sponge.,43.1,72,19.4,2.47,onto -> on
widowx_nut_on_plate_clean,verb synonym,True,Move the nut onto the plate.,18.1,72,Drop the nut onto the plate.,37.5,216,19.4,3.05,drop -> move
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,False,Put the red can on the black keyboard,8.3,48,put the coke can on the black keyboard,27.8,72,19.4,2.61,red -> coke
widowx_eggplant_on_keyboard_clean,noun/adjective synonym,False,Put the eggplant across the keyboard,8.3,24,Put the eggplant onto the keyboard.,27.7,264,19.3,2.06,across -> onto
widowx_orange_juice_on_plate_clean,noun/adjective synonym,False,Set the drink container on top of the plate.,5.7,192,set the drink box on top of the plate,25.0,24,19.3,3.31,container -> box
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Place the blue can on the plate.,35.0,120,place the pepsi can on the plate,54.2,96,19.2,2.82,blue -> pepsi
widowx_coke_can_on_wheel_clean,noun/adjective synonym,False,Put the red can on the black wheel.,4.2,24,put the coke can on the black wheel,23.3,120,19.2,2.14,red -> coke
widowx_cube_on_plate_clean,verb synonym,True,Move the green block onto the plate.,65.3,216,Drop the green block onto the plate.,84.4,384,19.1,5.38,drop -> move
widowx_orange_juice_on_plate_clean,verb synonym,True,Move the juice box onto the yellow plate.,14.4,216,Place the juice box onto the yellow plate.,33.3,24,19.0,2.39,move -> place
widowx_cube_on_plate_clean,preposition synonym,True,set the green cube to the yellow plate,58.3,24,set the green cube on the yellow plate,77.2,408,18.9,2.11,on -> to
widowx_cube_on_plate_clean,verb synonym,True,Place the small teal block on the light green circular dish.,50.0,96,Put the small teal block on the light green circular dish.,68.8,144,18.8,2.92,place -> put
widowx_pepsi_on_plate_clean,verb synonym,True,Drop the Pepsi onto that green plate.,10.4,48,Set the Pepsi onto that green plate.,29.2,48,18.8,2.31,drop -> set
widowx_nut_on_plate_clean,verb synonym,False,move the nut onto the yellow plate,18.8,48,Drop the nut onto the yellow plate.,37.5,120,18.8,2.35,drop -> move
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,False,Set the red can onto the black keyboard.,4.2,96,set the coke can onto the black keyboard,22.9,48,18.8,3.47,red -> coke
widowx_coke_can_on_keyboard_clean,verb synonym,False,Transfer the red can onto the black keyboard.,2.1,48,place the red can onto the black keyboard,20.8,48,18.8,2.88,transfer -> place
widowx_coke_can_on_wheel_clean,verb synonym,False,move the red can on the black wheel,2.1,48,Rest the red can on the black wheel.,20.8,24,18.8,2.71,rest -> move
widowx_coke_can_on_wheel_clean,verb synonym,True,move the red can on the black wheel,2.1,48,set the red can on the black wheel,20.8,48,18.8,2.88,move -> set
widowx_coke_can_on_keyboard_clean,verb synonym,True,set the red can onto the black keyboard,2.1,96,place the red can onto the black keyboard,20.8,48,18.8,3.84,place -> set
widowx_nut_on_wheel_clean,noun/adjective synonym,False,pick up the nut and put it on the wheel,0.0,48,Pick up the nut and put it on the tire.,18.8,48,18.8,3.15,tire -> wheel
widowx_nut_on_plate_clean,verb synonym,True,move the nut onto the yellow plate,18.8,48,put the nut onto the yellow plate,37.5,96,18.8,2.29,move -> put
widowx_nut_on_plate_clean,preposition synonym,True,set the small dark hexagonal nut onto the round pale yellow plate,16.7,48,set the small dark hexagonal nut on the round pale yellow plate,35.4,48,18.8,2.09,on -> onto
widowx_eggplant_on_keyboard_clean,verb synonym,True,Leave the eggplant on the keyboard.,4.2,48,Set the eggplant on the keyboard.,22.9,48,18.8,2.68,leave -> set
widowx_eggplant_on_sponge_clean,case/punctuation only,False,put the purple eggplant on the green and yellow sponge,72.9,192,Put the purple eggplant on the green and yellow sponge.,91.7,24,18.8,2.0, -> 
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,Put the soda can on the dish.,2.1,48,Put the soda can on the plate.,20.8,48,18.8,2.88,dish -> plate
widowx_coke_can_on_wheel_clean,noun/adjective synonym,True,rest the soda can on the black wheel,6.2,48,rest the red can on the black wheel,25.0,24,18.8,2.27,red -> soda
widowx_coke_can_on_wheel_clean,noun/adjective synonym,False,Set the can on the wheel.,2.1,48,set the coke on the wheel,20.8,72,18.8,2.96,can -> coke
widowx_pepsi_on_plate_clean,verb synonym,False,Put the blue can onto the yellow plate.,16.7,48,place the blue can onto the yellow plate,35.4,48,18.8,2.09,put -> place
widowx_pepsi_on_plate_clean,case/punctuation only,False,Put the can of Pepsi on the plate.,16.7,144,put the can of pepsi on the plate,35.4,48,18.8,2.75, -> 
widowx_coke_can_on_wheel_clean,verb synonym,False,move the red can on the black wheel,2.1,48,Set the red can on the black wheel.,20.8,24,18.8,2.71,set -> move
widowx_coke_can_on_wheel_clean,noun/adjective synonym,False,Put the red can on the black wheel.,4.2,24,put the soda can on the black wheel.,22.9,48,18.8,2.01,red -> soda
widowx_eggplant_on_sponge_clean,verb synonym,False,put the eggplant on the sponge.,66.7,48,Set the eggplant on the sponge.,85.4,48,18.8,2.15,set -> put
widowx_eggplant_on_sponge_clean,verb synonym,False,drop the purple eggplant onto the sponge,70.8,72,Set the purple eggplant onto the sponge.,89.6,48,18.8,2.44,set -> drop
widowx_coke_can_on_keyboard_clean,case/punctuation only,True,Put the Coke on the keyboard.,10.4,48,Put the coke on the keyboard.,29.2,24,18.8,2.01, -> 
widowx_coke_can_on_keyboard_clean,verb synonym,False,Put the Coke on the keyboard.,10.4,48,drop the Coke on the keyboard,29.2,24,18.8,2.01,put -> drop
widowx_nut_on_plate_clean,verb synonym,True,Move the nut onto the yellow plate.,11.2,624,Put the nut onto the yellow plate.,30.0,120,18.8,5.39,move -> put
widowx_carrot_on_ramekin_clean,verb synonym,False,put the carrot in the little white bowl.,12.5,48,set the carrot in the little white bowl,31.2,48,18.7,2.22,put -> set
widowx_nut_on_plate_clean,noun/adjective synonym,False,Set the hexagonal nut on the plate.,27.1,96,Set the grey nut on the plate,45.8,48,18.7,2.25,grey -> hexagonal
widowx_carrot_on_ramekin_clean,noun/adjective synonym,False,put the carrot in the little bowl,14.6,48,Put the carrot in the white bowl.,33.3,360,18.7,2.64,white -> little
widowx_eggplant_on_keyboard_clean,noun/adjective synonym,False,Put the eggplant on the computer keyboard.,35.4,96,put the eggplant on the black keyboard,54.2,96,18.7,2.61,computer -> black
widowx_nut_on_plate_clean,case/punctuation only,False,Put the dark nut on the plate.,18.8,48,put the dark nut on the plate,37.5,72,18.7,2.2, -> 
widowx_carrot_on_ramekin_clean,noun/adjective synonym,True,Move the carrot to the white bowl.,20.8,96,Move the carrot to the white dish.,39.6,48,18.7,2.39,bowl -> dish
widowx_carrot_on_sponge_clean,verb synonym,False,Put the carrot onto the sponge.,20.8,72,drop the carrot onto the sponge,39.6,96,18.7,2.59,put -> drop
widowx_eggplant_on_keyboard_clean,verb synonym,True,drop the purple eggplant on the black keyboard,33.3,48,set the purple eggplant on the black keyboard,51.9,360,18.6,2.42,drop -> set
widowx_eggplant_on_keyboard_clean,case/punctuation only,False,Set the purple eggplant on the black keyboard.,33.3,72,set the purple eggplant on the black keyboard,51.9,360,18.6,2.88, -> 
widowx_eggplant_on_keyboard_clean,case/punctuation only,False,set the purple eggplant on the black keyboard.,33.3,48,set the purple eggplant on the black keyboard,51.9,360,18.6,2.42, -> 
widowx_eggplant_on_keyboard_clean,verb synonym,False,put the eggplant on the keyboard,12.0,192,Place the eggplant on the keyboard.,30.5,600,18.5,5.09,place -> put
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,False,Put the red can on the black keyboard.,9.4,96,put the coke can on the black keyboard,27.8,72,18.4,3.12,red -> coke
widowx_carrot_on_sponge_clean,verb synonym,False,Set the carrot on the green sponge.,26.0,96,put the carrot on the green sponge,44.4,144,18.4,2.89,set -> put
widowx_eggplant_on_keyboard_clean,verb synonym,True,Move the purple eggplant onto the black keyboard.,16.7,192,Deposit the purple eggplant onto the black keyboard.,35.0,120,18.3,3.7,deposit -> move
widowx_coke_can_on_keyboard_clean,slight restructure,True,put the coke can on the keyboard,11.5,96,put coke can on keyboard,29.7,720,18.3,3.76,reorder/determiners
widowx_eggplant_on_keyboard_clean,verb synonym,False,Leave the purple eggplant on the black keyboard.,27.1,48,put the purple eggplant on the black keyboard,45.3,408,18.3,2.41,leave -> put
widowx_nut_on_plate_clean,slight restructure,False,"grey Nut set on the plate, please.",16.7,48,set the grey nut on the plate,35.0,120,18.3,2.35,reorder/determiners
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,set the blue soda can on the yellow plate,28.3,120,set the blue pepsi can on the yellow plate,46.5,144,18.2,3.03,pepsi -> soda
widowx_nut_on_plate_clean,verb synonym,False,place the nut on the plate,29.2,48,Put the nut on the plate.,47.2,144,18.1,2.19,put -> place
widowx_cube_on_plate_clean,verb synonym,True,Move the green block onto the plate.,65.3,216,Put the green block onto the plate.,83.3,48,18.1,2.44,move -> put
widowx_nut_on_plate_clean,verb synonym,True,Place the nut on the plate.,29.2,48,Put the nut on the plate.,47.2,144,18.1,2.19,place -> put
widowx_eggplant_on_sponge_clean,noun/adjective synonym,False,drop the little purple eggplant onto the sponge,61.1,144,Drop the small purple eggplant onto the sponge.,79.2,72,18.1,2.66,small -> little
widowx_cube_on_plate_clean,verb synonym,False,Move the green block onto the plate.,65.3,216,put the green block onto the plate.,83.3,48,18.1,2.44,move -> put
widowx_coke_can_on_wheel_clean,preposition synonym,True,Place the red soda can on the black rubber tire.,16.7,96,Place the red soda can in the black rubber tire.,34.7,144,18.1,3.07,in -> on
widowx_coke_can_on_wheel_clean,verb synonym,False,Place the Coke can on the black wheel.,11.1,72,set the coke can on the black wheel,29.2,120,18.1,2.91,place -> set
widowx_nut_on_wheel_clean,verb synonym,True,set the nut on the wheel there,2.8,72,put the nut on the wheel there,20.8,48,18.1,3.23,put -> set
widowx_nut_on_wheel_clean,verb synonym,False,place the nut onto the wheel,0.0,96,Put the nut onto the wheel.,18.1,72,18.1,4.33,put -> place
widowx_carrot_on_sponge_clean,noun/adjective synonym,True,Set the orange vegetable on the green and yellow sponge.,11.7,240,Set the orange carrot on the green and yellow sponge.,29.6,240,17.9,4.85,carrot -> vegetable
widowx_carrot_on_ramekin_clean,verb synonym,True,put the carrot into the white bowl,28.0,168,place the carrot into the white bowl,45.8,48,17.9,2.34,place -> put
widowx_pepsi_on_plate_clean,verb synonym,False,Put the Pepsi can on the plate.,36.2,480,place the pepsi can on the plate,54.2,96,17.9,3.28,put -> place
widowx_orange_juice_on_plate_clean,noun/adjective synonym,True,Set the orange carton onto the circular yellow dish.,14.6,48,Set the citrus carton onto the circular yellow dish.,32.5,456,17.9,2.55,citrus -> orange
widowx_eggplant_on_keyboard_clean,verb synonym,True,Move the purple eggplant onto the black keyboard.,16.7,192,Put the purple eggplant onto the black keyboard.,34.6,312,17.9,4.37,move -> put
widowx_cube_on_plate_clean,verb synonym,False,Set the green block on the plate.,73.8,240,drop the green block on the plate,91.7,48,17.9,2.68,set -> drop
widowx_eggplant_on_keyboard_clean,noun/adjective synonym,False,put the purple eggplant onto the black device,16.7,48,Put the purple eggplant onto the black keyboard.,34.6,312,17.9,2.48,keyboard -> device
widowx_nut_on_wheel_clean,verb synonym,True,Set the nut on top of the black wheel.,7.2,360,Place the nut on top of the black wheel.,25.0,48,17.8,3.98,place -> set
widowx_nut_on_wheel_clean,verb synonym,False,Set the nut on top of the black wheel.,7.2,360,place the nut on top of the black wheel,25.0,24,17.8,3.05,set -> place
widowx_nut_on_plate_clean,case/punctuation only,False,deposit the small dark hexagonal hardware piece onto the round pale yellow dish,25.0,48,Deposit the small dark hexagonal hardware piece onto the round pale yellow dish.,42.7,192,17.7,2.25, -> 
widowx_eggplant_on_keyboard_clean,noun/adjective synonym,False,get the eggplant onto the keyboard,19.4,144,Place the eggplant onto the keyboard,37.1,264,17.7,3.69,place -> get
widowx_nut_on_plate_clean,slight restructure,True,put the nut on the plate,38.2,288,put nut on plate,55.9,744,17.7,5.11,reorder/determiners
widowx_carrot_on_sponge_clean,verb synonym,False,put the orange carrot on the yellow and green sponge,11.5,96,Set the orange carrot on the yellow-and-green sponge.,29.2,24,17.7,2.17,set -> put
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,set the blue coke can on the plate,51.0,96,set the blue pepsi can on the plate,68.8,48,17.7,2.02,coke -> pepsi
widowx_orange_juice_on_plate_clean,verb synonym,True,place the juice onto the yellow plate,8.3,48,set the juice onto the yellow plate,26.0,96,17.7,2.5,place -> set
widowx_pepsi_on_plate_clean,verb synonym,True,Put the blue coke can onto the yellow plate.,32.3,96,Place the blue coke can onto the yellow plate.,50.0,96,17.7,2.49,place -> put
widowx_eggplant_on_keyboard_clean,noun/adjective synonym,True,Place the purple eggplant on top of the black keyboard.,13.7,168,Place the purple vegetable on top of the black keyboard.,31.2,48,17.6,2.82,eggplant -> vegetable
widowx_pepsi_on_plate_clean,preposition synonym,False,Set the blue can to the plate.,20.8,48,set the blue can on the plate,38.2,144,17.4,2.2,to -> on
widowx_pepsi_on_plate_clean,verb synonym,True,put the blue can onto the yellow plate,9.7,72,set the blue can onto the yellow plate,27.1,144,17.4,2.94,put -> set
widowx_cube_on_plate_clean,noun/adjective synonym,False,pick up the green block and put it on the plate,72.2,72,Pick up the green cube and put it on the plate.,89.6,48,17.4,2.29,cube -> block
widowx_coke_can_on_keyboard_clean,case/punctuation only,False,set the coca-cola can on the keyboard,12.5,48,Set the Coca-Cola can on the keyboard.,29.9,144,17.4,2.39, -> 
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Put the soda can on the plate.,20.8,48,put the blue can on the plate,38.1,168,17.3,2.22,soda -> blue
widowx_nut_on_plate_clean,verb synonym,False,set the nut on the plate,29.9,264,Put the nut on the plate.,47.2,144,17.3,3.48,put -> set
widowx_cube_on_plate_clean,case/punctuation only,False,put the green block on the yellow plate,62.0,192,Put the green block on the yellow plate.,79.2,48,17.2,2.24, -> 
widowx_eggplant_on_keyboard_clean,verb synonym,False,put the eggplant on the keyboard,12.0,192,Position the eggplant on the keyboard.,29.2,24,17.2,2.3,position -> put
widowx_eggplant_on_keyboard_clean,verb synonym,False,put the eggplant on the keyboard,12.0,192,Drop the eggplant on the keyboard.,29.2,48,17.2,2.95,drop -> put
widowx_eggplant_on_keyboard_clean,verb synonym,False,Put the purple eggplant on the black keyboard.,34.7,144,set the purple eggplant on the black keyboard,51.9,360,17.2,3.5,put -> set
widowx_eggplant_on_keyboard_clean,verb synonym,False,Put the eggplant on the keyboard.,16.2,216,place the eggplant on the keyboard,33.3,96,17.1,3.4,put -> place
widowx_eggplant_on_sponge_clean,verb synonym,False,lay the purple eggplant on the green sponge,70.8,24,Put the purple eggplant on the green sponge.,88.0,216,17.1,2.31,put -> lay
