task,phrase,kind,proxy,n_ctx,gt_success,source
put fork from basket to tray,pick up the fork from the basket and place it in the tray,search,,80,,search_boards
put fork from basket to tray,move the silver fork from the basket to the black tray,search,,80,,search_boards
put green squash in pot or pan,put green squash in pot or pan,original,,80,,search_boards
put green squash in pot or pan,put green bitter melon in the small metal pot,search,,80,,search_boards
put green squash in pot or pan,put the green bitter melon into the small metal pot,search,,80,,search_boards
put green squash in pot or pan,place the green bitter melon into the small metal pot,search,,80,,search_boards
put green squash in pot or pan,put the green bitter melon in the metal pot,search,,80,,search_boards
put green squash in pot or pan,put the green bitter melon in the small metal pot,search,,80,,search_boards
put green squash in pot or pan,place the green bitter melon toy in the metal pot,search,,80,,search_boards
put green squash in pot or pan,put the green bitter melon in the silver pot,search,,80,,search_boards
put green squash into pot or pan,put green squash into pot or pan,original,,80,,search_boards
put green squash into pot or pan,place green squash into pot,search,,80,,search_boards
put green squash into pot or pan,put the green squash in pot,search,,80,,search_boards
put green squash into pot or pan,place green squash in pot,search,,80,,search_boards
put green squash into pot or pan,place green squash inside pot,search,,80,,search_boards
put green squash into pot or pan,put green squash in pot,search,,80,,search_boards
put green squash into pot or pan,put green squash in the pot,search,,80,,search_boards
put green squash into pot or pan,place the green squash inside the metal pot,search,,80,,search_boards
put green squash into pot or pan,pick up the green squash and put it in the pot,search,,80,,search_boards
put green squash into pot or pan,put green squash into metal pot,search,,80,,search_boards
put knife in pot cardboard fence,put knife in pot cardboard fence,original,,80,,search_boards
put knife in pot cardboard fence,place the plastic knife in the orange cup,search,,80,,search_boards
put knife in pot cardboard fence,move the plastic knife into the orange cup,search,,80,,search_boards
put knife in pot cardboard fence,place the plastic knife inside the orange cup,search,,80,,search_boards
put knife in pot cardboard fence,place the plastic knife in the orange bowl,search,,80,,search_boards
put knife in pot cardboard fence,place the yellow knife into the orange cup,search,,80,,search_boards
put knife in pot cardboard fence,place the knife into the orange cup,search,,80,,search_boards
put knife in pot cardboard fence,put the plastic knife in the orange cup,search,,80,,search_boards
put knife in pot or pan,place the white toy knife into the pot,search,,80,,search_boards
put knife in pot or pan,put the white toy knife into the metal pot,search,,80,,search_boards
put knife in pot or pan,put knife in pot or pan,original,,80,,search_boards
put knife in pot or pan,put the white toy knife inside the metal pot,search,,80,,search_boards
put knife in pot or pan,put the white knife into the metal pot,search,,80,,search_boards
put knife in pot or pan,put the white toy knife in the silver pot,search,,80,,search_boards
put knife in pot or pan,put the white knife in the silver pot,search,,80,,search_boards
put knife on cutting board,move yellow knife onto the green cutting board,search,,80,,search_boards
put knife on cutting board,move yellow knife to the green cutting board,search,,80,,search_boards
put knife on cutting board,place yellow knife on green board,search,,80,,search_boards
put knife on cutting board,move the yellow knife to the green cutting board,search,,80,,search_boards
put knife on cutting board,put knife on cutting board,original,,80,,search_boards
put knife on cutting board,place the yellow knife on the green board,search,,80,,search_boards
put knife on cutting board cardboard fence,put knife on cutting board cardboard fence,original,,80,,search_boards
put knife on cutting board cardboard fence,move the knife onto the cutting board,search,,80,,search_boards
put knife on cutting board cardboard fence,put knife on cutting board,search,,80,,search_boards
put knife on cutting board cardboard fence,place the knife on the cutting board,search,,80,,search_boards
put knife on cutting board cardboard fence,place the knife on the green board,search,,80,,search_boards
put knife on cutting board cardboard fence,move the yellow knife onto the green cutting board,search,,80,,search_boards
put knife on cutting board cardboard fence,place yellow knife on cutting board,search,,80,,search_boards
put lemon on plate,put lemon on plate,original,,80,,search_boards
put lemon on plate,grab the yellow lemon from the sink and put it on the red plate,search,,80,,search_boards
put lemon on plate,grab the yellow lemon from the sink and place it on the red plate,search,,80,,search_boards
put lemon on plate,pick up the yellow lemon and place it on the red plate,search,,80,,search_boards
put lemon on plate,place the lemon on the red plate next to the sink,search,,80,,search_boards
put lemon on plate,grab the yellow lemon and put it on the red plate,search,,80,,search_boards
put lemon on plate,grab the lemon and place it on the red plate,search,,80,,search_boards
put lid on pot,put the orange lid on top of the orange cup,search,,80,,search_boards
put lid on pot,put lid on pot,original,,80,,search_boards
put lid on pot,put the orange plastic lid on top of the orange cup,search,,80,,search_boards
put lid on pot,put the orange lid on the orange cup,search,,80,,search_boards
put lid on pot,put the orange lid on top of the cup,search,,80,,search_boards
put lid on pot,put the orange lid on the orange container,search,,80,,search_boards
put lid on pot,cover the orange container with the lid,search,,80,,search_boards
put lid on pot,place the lid on top of the cup,search,,80,,search_boards
put lid on pot or pan,put the lid onto the silver pot,search,,80,,search_boards
put lid on pot or pan,place the silver lid onto the silver pot,search,,80,,search_boards
put lid on pot or pan,place the lid on the pot,search,,80,,search_boards
put lid on pot or pan,put lid on pot or pan,original,,80,,search_boards
put lid on pot or pan,put the silver lid on the silver pot,search,,80,,search_boards
put lid on pot or pan,place the lid on top of the pot,search,,80,,search_boards
put lid on pot or pan,put the silver lid on top of the pot,search,,80,,search_boards
put lid on pot or pan,place the metal lid on the silver pot,search,,80,,search_boards
put pan from drying rack into sink,put pan from drying rack into sink,original,,80,,search_boards
put pan from drying rack into sink,move the stainless steel pot from the rack into the sink,search,,80,,search_boards
put pan from drying rack into sink,put the metal pan in the orange rack into the sink,search,,80,,search_boards
put pan from drying rack into sink,put the metal pan in the orange basket into the sink basin,search,,80,,search_boards
put pan from drying rack into sink,put the metal pan in the orange basket into the sink,search,,80,,search_boards
put pan from drying rack into sink,transfer the silver pot from the orange dish rack to the sink,search,,80,,search_boards
put pan from drying rack into sink,move the metal pan into the white sink basin,search,,80,,search_boards
put pan from sink into drying rack,put pan from sink into the drying rack,search,,80,,search_boards
put pan from sink into drying rack,put pan from sink into drying rack,original,,80,,search_boards
put pan from sink into drying rack,put pan from the sink into drying rack,search,,80,,search_boards
put pan from sink into drying rack,put pan in orange drying rack,search,,80,,search_boards
put pan from sink into drying rack,move the metal pan from the sink to the orange dish rack,search,,80,,search_boards
put pan from sink into drying rack,put the metal pan in the orange basket,search,,80,,search_boards
put pan from sink into drying rack,put the small silver pan into the orange drying rack,search,,80,,search_boards
put pan from stove to sink,move the metal pot from the blue burner to the sink,search,,80,,search_boards
put pan from stove to sink,place the metal pot from the blue burner to the sink,search,,80,,search_boards
put pan from stove to sink,move the silver pot from the blue burner to the sink,search,,80,,search_boards
put pan from stove to sink,transfer the metal pot from the blue burner to the sink,search,,80,,search_boards
put pan from stove to sink,put pan from stove to sink,original,,80,,search_boards
put pan from stove to sink,transfer the metal pot from the burner to the sink,search,,80,,search_boards
put pan from stove to sink,place the silver pot from the blue stove in the sink,search,,80,,search_boards
put pan from stove to sink,move the silver pot off the burner and put it in the sink,search,,80,,search_boards
put pan from stove to sink,place the silver pan from the burner into the plastic sink,search,,80,,search_boards
put pan from stove to sink,transfer the silver pot from the blue burner to the sink,search,,80,,search_boards
put pan from stove to sink,move the silver pot from the burner to the sink,search,,80,,search_boards
put pan in sink,put pan in sink,original,,80,,search_boards
put pan in sink,put pan into the sink,search,,80,,search_boards
put pan in sink,put the pan in the sink,search,,80,,search_boards
put pan in sink,put the pan into the sink,search,,80,,search_boards
put pan in sink,put the metal pan in the sink,search,,80,,search_boards
put pan in sink,put the cooking pan into the sink,search,,80,,search_boards
put pan in sink,put the metal cooking pot in the sink,search,,80,,search_boards
put pan on stove and put blueberry in pan,put pan on stove and put blueberry in pan,original,,80,,search_boards
put pan on stove and put blueberry in pan,place the silver pan on the stove burner and put the blue berry in it,search,,80,,search_boards
put pan on stove and put blueberry in pan,put the small pot on the stove burner and put the blue berry in the pot,search,,80,,search_boards
put pan on stove and put blueberry in pan,place the silver pan on the stove burner and put the blue berry inside,search,,80,,search_boards
put pan on stove and put blueberry in pan,place the metal pot on the burner and put the blue berry inside,search,,80,,search_boards
put pan on stove and put blueberry in pan,place the metal pan on the stove burner and put the blue berry in the pan,search,,80,,search_boards
put pan on stove and put stuffedduck in pan,put pan on stove and put stuffedduck in pan,original,,80,,search_boards
put pan on stove and put stuffedduck in pan,set the pot on the stove and put the yellow stuffed duck inside,search,,80,,search_boards
put pan on stove and put stuffedduck in pan,place the pot on the stove and put the yellow stuffed duck inside,search,,80,,search_boards
put pan on stove and put stuffedduck in pan,move the pot to the stove and place the yellow stuffed duck inside,search,,80,,search_boards
put pan on stove and put stuffedduck in pan,move the pot to the stove and put the yellow duck inside,search,,80,,search_boards
put pan on stove and put stuffedduck in pan,set the pot on the burner and put the yellow stuffed duck inside,search,,80,,search_boards
put pan on stove and put stuffedduck in pan,put the silver pot on the stove burner and place the duck inside,search,,80,,search_boards
put pan on stove and put stuffedduck in pan,place the pot on the burner and put the yellow stuffed duck in it,search,,80,,search_boards
put pan on stove and put stuffedpig in pan,put pan on the stove and place the stuffedpig in the pan,search,,80,,search_boards
put pan on stove and put stuffedpig in pan,put pan on stove and put the stuffedpig in the pan,search,,80,,search_boards
put pan on stove and put stuffedpig in pan,put pan on stove and place the stuffedpig in the pan,search,,80,,search_boards
put pan on stove and put stuffedpig in pan,put the pan on the stove and place the stuffedpig in the pan,search,,80,,search_boards
put pan on stove and put stuffedpig in pan,put pan on stove and put stuffedpig in pan,original,,80,,search_boards
put pan on stove and put stuffedpig in pan,move the metal pot to the stove burner and put the pink pig in it,search,,80,,search_boards
put pan on stove and put stuffedpig in pan,put the silver pot on the stove burner and put the pink toy in it,search,,80,,search_boards
put pan on stove and put stuffedpig in pan,put the metal cooking pot on the stove and place the pink pig in it,search,,80,,search_boards
put pan on stove and put stuffedpig in pan,put pan on the stove and put stuffedpig in pan,search,,80,,search_boards
put pan on stove and put stuffedpig in pan,put pan on stove and put stuffed pig in pan,search,,80,,search_boards
put pan on stove and put stuffedpig in pan,put the pan on stove and put stuffedpig in pan,search,,80,,search_boards
put pan on stove and put stuffedpig in pan,put pan on the stove and put stuffedpig in the pan,search,,80,,search_boards
put pan on stove and put stuffedpig in pan,put pan on stove and put the stuffed pig in pan,search,,80,,search_boards
put pan on stove and put stuffedpig in pan,put pan on the stove and put the stuffed pig in pan,search,,80,,search_boards
put pan on stove from sink,lift the silver pan from the sink and place it on the blue burner,search,,80,,search_boards
put pan on stove from sink,lift the metal pan and place it on the stove burner,search,,80,,search_boards
put pan on stove from sink,put pan on stove from sink,original,,80,,search_boards
put pan on stove from sink,lift the silver pan from the sink and put it on the burner,search,,80,,search_boards
put pan on stove from sink,lift the silver pan out of the sink and place it on the burner,search,,80,,search_boards
put pan on stove from sink,transfer the metal pan from the sink to the stove top,search,,80,,search_boards
put pan on stove from sink,place the pan on the blue burner,search,,80,,search_boards
put pear in bowl,put pear in bowl,original,,80,,search_boards
put pear in bowl,drop pear in blue bowl,search,,80,,search_boards
put pear in bowl,drop the green pear inside the blue bowl,search,,80,,search_boards
put pear in bowl,place the green pear in the blue bowl,search,,80,,search_boards
put pear in bowl,pick up the pear and put it in the bowl,search,,80,,search_boards
put pear on plate,put pear on plate,original,,80,,search_boards
put pear on plate,put the green pear onto the green plate,search,,80,,search_boards
put pear on plate,place the green pear onto the green plate,search,,80,,search_boards
put pear on plate,put the green pear on the green plate,search,,80,,search_boards
put pear on plate,move pear to the green plate,search,,80,,search_boards
put pear on plate,move pear to green plate,search,,80,,search_boards
put pear on plate,move green pear to green plate,search,,80,,search_boards
put pear on plate,put green pear on plate,search,,80,,search_boards
put pear on plate,move the green pear onto the green plate,search,,80,,search_boards
put pepper in pan,put pepper in pan,original,,80,,search_boards
put pepper in pan,drop the red pepper into the silver pot,search,,80,,search_boards
put pepper in pan,drop the red pepper inside the metal pot,search,,80,,search_boards
put pepper in pan,put the red pepper inside the silver pot,search,,80,,search_boards
put pepper in pan,put the red pepper inside the metal pot,search,,80,,search_boards
put pepper in pan,put the red pepper into the metal pot,search,,80,,search_boards
put pepper in pan,put the red pepper in the pot,search,,80,,search_boards
put pepper in pan,place the pepper inside the silver pot,search,,80,,search_boards
put pepper in pot or pan,[dry-run:gemini] affa8ef68d95,search,0.5164302741061629,80,,loop_gemini
put pepper in pot or pan,[dry-run:gemini] 36999a4f8109,search,0.9019442096872502,80,,loop_gemini
put pepper in pot or pan,put pepper in pot or pan,original,,80,,search_boards
put pepper in pot or pan,put pepper into pot,search,,80,,search_boards
put pepper in pot or pan,put the yellow pepper in the silver pot,search,,80,,search_boards
put pepper in pot or pan,place the yellow pepper in the pot,search,,80,,search_boards
put pepper in pot or pan,place the yellow pepper inside the silver pot,search,,80,,search_boards
put pepper in pot or pan,place the pepper in the pot,search,,80,,search_boards
put pepper in pot or pan,move pepper to pot,search,,80,,search_boards
put pot in sink,[dry-run:gemini] ec6229e4acec,search,0.28996248693167515,80,,loop_gemini
put pot in sink,[dry-run:gemini] 10be753fa1a5,search,0.6442700263992486,80,,loop_gemini
put pot in sink,put pot in sink,original,,80,,search_boards
put pot in sink,move the small metal pot of yellow food into the sink,search,,80,,search_boards
put pot in sink,move the metal pot with yellow food into the sink,search,,80,,search_boards
put pot in sink,put the pot of yellow food in the sink,search,,80,,search_boards
put pot in sink,move the pot in front of the faucet into the sink,search,,80,,search_boards
put pot in sink,move the pot of fake food to the sink,search,,80,,search_boards
put pot in sink,place the metal cooking pot in the sink,search,,80,,search_boards
put pot on stove which is near stove,put pot on stove which is near stove,original,,80,,search_boards
put pot on stove which is near stove,set the silver pot on the stove,search,,80,,search_boards
put pot on stove which is near stove,set the small pot on the stove,search,,80,,search_boards
put pot on stove which is near stove,set the small silver pot on the stove,search,,80,,search_boards
put pot on stove which is near stove,set the small silver pot on the stove burner,search,,80,,search_boards
put pot on stove which is near stove,place the pot onto the stove,search,,80,,search_boards
put pot on stove which is near stove,put the pot that is in the sink onto the stove,search,,80,,search_boards
put pot on stove which is near stove,set the pot on the stove burner,search,,80,,search_boards
put pot or pan from sink into drying rack,move the silver pot from the sink into the yellow drying basket,search,,80,,search_boards
put pot or pan from sink into drying rack,place the silver pot from the sink into the yellow drying basket,search,,80,,search_boards
put pot or pan from sink into drying rack,transfer the silver pot from the sink into the yellow drying basket,search,,80,,search_boards
put pot or pan from sink into drying rack,transfer the silver pot from within the sink into the yellow drying basket,search,,80,,search_boards
put pot or pan from sink into drying rack,put pot or pan from sink into drying rack,original,,80,,search_boards
put pot or pan from sink into drying rack,transfer the pot from the sink to the dish drainer,search,,80,,search_boards
put pot or pan from sink into drying rack,put the metal pot inside the yellow dish rack,search,,80,,search_boards
put pot or pan from sink into drying rack,put the metal pot in the yellow rack,search,,80,,search_boards
put pot or pan from sink into drying rack,place the silver pot in the yellow drying basket,search,,80,,search_boards
put pot or pan from sink into drying rack,transfer the silver pot from the sink into the yellow dish drainer,search,,80,,search_boards
put pot or pan from sink into drying rack,transfer the silver pot from the sink to the yellow dish drainer,search,,80,,search_boards
put pot or pan from sink into drying rack,transfer the pot from the sink into the yellow dish drainer,search,,80,,search_boards
put pot or pan from sink into drying rack,place the silver pot from the sink into the yellow dish drainer,search,,80,,search_boards
put pot or pan in sink,put pot or pan in sink,original,,80,,search_boards
put pot or pan in sink,put the metal pot in the sink,search,,80,,search_boards
put pot or pan in sink,place the metal pot inside the sink,search,,80,,search_boards
put pot or pan in sink,put metal pot in sink,search,,80,,search_boards
put pot or pan in sink,place the small metal pot in the sink,search,,80,,search_boards
put pot or pan in sink,drop the metal pot inside the sink,search,,80,,search_boards
put pot or pan on stove,put pot or pan on stove,original,,80,,search_boards
put pot or pan on stove,place the silver pot on the stove burner,search,,80,,search_boards
put pot or pan on stove,put the silver pot on the stove burner,search,,80,,search_boards
put pot or pan on stove,set the silver pot on the left stove burner,search,,80,,search_boards
put pot or pan on stove,set the silver pot on the left burner,search,,80,,search_boards
put pot or pan on stove,place the small silver pot on the stove,search,,80,,search_boards
put pot or pan on stove,set the silver cooking pot on the burner,search,,80,,search_boards
put pot or pan on stove,set the small metal pot on the stove,search,,80,,search_boards
put pot or pan on stove,put the silver pot on the left burner,search,,80,,search_boards
put potato in pot cardboard fence,put potato in pot cardboard fence,original,,80,,search_boards
put potato in pot cardboard fence,place potato in orange pot,search,,80,,search_boards
put potato in pot cardboard fence,put the yellow potato in the pot,search,,80,,search_boards
put potato in pot cardboard fence,place the yellow potato in the orange pot,search,,80,,search_boards
put potato in pot cardboard fence,put the yellow potato in the orange pot,search,,80,,search_boards
put potato in pot cardboard fence,move the potato into the orange pot,search,,80,,search_boards
put potato in pot cardboard fence,put the yellow potato in the orange cup,search,,80,,search_boards
put potato in pot or pan,put potato in pot or pan,original,,80,,search_boards
put potato in pot or pan,place the yellow potato into the metal pot,search,,80,,search_boards
put potato in pot or pan,put the yellow potato in the metal pot,search,,80,,search_boards
put potato in pot or pan,put the yellow potato inside the metal pot,search,,80,,search_boards
put potato in pot or pan,put the yellow potato into the metal pot,search,,80,,search_boards
put potato in pot or pan,put potato in pot,search,,80,,search_boards
put potato in pot or pan,drop the potato into the pot,search,,80,,search_boards
put potato on plate,put potato on pink plate,search,,80,,search_boards
put potato on plate,put the potato on pink plate,search,,80,,search_boards
put potato on plate,place the potato onto the pink plate,search,,80,,search_boards
put potato on plate,put potato on plate,original,,80,,search_boards
put potato on plate,place potato on red plate,search,,80,,search_boards
put red bottle in sink,put red bottle in sink,original,,80,,search_boards
put red bottle in sink,grab the red bottle and put it in the sink,search,,80,,search_boards
put red bottle in sink,grab the red bottle and place it in the sink,search,,80,,search_boards
put red bottle in sink,grab the red bottle and drop it in the sink,search,,80,,search_boards
put red bottle in sink,place the red bottle in the basin,search,,80,,search_boards
put red bottle in sink,drop the red bottle into the sink,search,,80,,search_boards
put red bottle in sink,place red bottle in the sink,search,,80,,search_boards
put redcube in pan and put pan on stove,place red block inside the pan and put the pan on the stove burner,search,,80,,search_boards
put redcube in pan and put pan on stove,put red block inside the pan and put the pan on the stove burner,search,,80,,search_boards
put redcube in pan and put pan on stove,put the red block in the pan and set the pan on the stove,search,,80,,search_boards
put redcube in pan and put pan on stove,put the red block in the pan and put the pan on the stove,search,,80,,search_boards
put redcube in pan and put pan on stove,put redcube in pan and put pan on stove,original,,80,,search_boards
put redcube in pan and put pan on stove,place red block in the pan and put the pan on the stove burner,search,,80,,search_boards
put redcube in pan and put pan on stove,put the red toy in the metal pot and place the pot on the stove,search,,80,,search_boards
put redcube in pan and put pan on stove,place red block in pan and move pan to stove burner,search,,80,,search_boards
put redcube in pan and put pan on stove,put the red block in the pan and put the pan on the stove burner,search,,80,,search_boards
put redcube in pan and put pan on stove,put the red block in the pan and set the pan on the stove burner,search,,80,,search_boards
put redcube in pan and put pan on stove,put the red block in the pan and place the pan on the stove burner,search,,80,,search_boards
put small spoon from basket to tray,put small spoon from basket to tray,original,,80,,search_boards
put small spoon from basket to tray,place small spoon from basket to tray,search,,80,,search_boards
put small spoon from basket to tray,put the small spoon from basket to tray,search,,80,,search_boards
put small spoon from basket to tray,transfer the small spoon from basket to tray,search,,80,,search_boards
put small spoon from basket to tray,move small spoon from basket to tray,search,,80,,search_boards
put small spoon from basket to tray,transfer the small spoon from the basket to the tray,search,,80,,search_boards
put small spoon from basket to tray,place the small spoon from the grey container to the tray,search,,80,,search_boards
put small spoon from basket to tray,transfer small spoon from basket to tray,search,,80,,search_boards
put spatula in pan,place spatula in pan,search,,80,,search_boards
put spatula in pan,put spatula in pan,original,,80,,search_boards
put spatula in pan,put spatula inside the pan,search,,80,,search_boards
put spatula in pan,put spatula in the pan,search,,80,,search_boards
put spatula in pan,place the spatula in the pot,search,,80,,search_boards
put spatula in pan,put spatula into pot,search,,80,,search_boards
put spatula in pan,put the spatula in the pot,search,,80,,search_boards
put spatula on cutting board,put spatula on cutting board,original,,80,,search_boards
put spatula on cutting board,set the spatula on the green cutting board,search,,80,,search_boards
put spatula on cutting board,lay the spatula on the cutting board,search,,80,,search_boards
put spatula on cutting board,put the spatula on the board,search,,80,,search_boards
put spatula on cutting board,place the spatula on top of the cutting board,search,,80,,search_boards
put spatula on cutting board,set the spatula on top of the cutting board,search,,80,,search_boards
put spatula on cutting board,place the spatula on the cutting board,search,,80,,search_boards
put spatula on plate sink,put spatula on plate sink,original,,80,,search_boards
put spatula on plate sink,place the spatula in the blue bowl inside the sink,search,,80,,search_boards
put spatula on plate sink,place the green spatula inside the blue bowl in the sink,search,,80,,search_boards
put spatula on plate sink,place the small spatula in the blue bowl in the sink,search,,80,,search_boards
put spatula on plate sink,place the green spatula in the blue bowl,search,,80,,search_boards
put spatula on plate sink,put the small spatula into the blue bowl,search,,80,,search_boards
put spatula on plate sink,set the spatula in the blue bowl inside the sink,search,,80,,search_boards
put spoon in bowl sink,put spoon in bowl sink,original,,80,,search_boards
put spoon in bowl sink,drop the spoon into the blue bowl,search,,80,,search_boards
put spoon in bowl sink,put the spoon into the blue bowl,search,,80,,search_boards
put spoon in bowl sink,drop the spoon inside the blue bowl,search,,80,,search_boards
put spoon in bowl sink,place the spoon in the blue bowl,search,,80,,search_boards
put spoon in bowl sink,drop the spoon in the blue bowl,search,,80,,search_boards
put spoon in bowl sink,put the spoon in the blue bowl,search,,80,,search_boards
put spoon in bowl sink,place the spoon inside the blue bowl,search,,80,,search_boards
put spoon in pot,put spoon in pot,original,,80,,search_boards
put spoon in pot,put the spoon in the metal pot,search,,80,,search_boards
put spoon in pot,place the blue spoon inside the metal pot,search,,80,,search_boards
put spoon in pot,place the blue and white spoon in the metal pot,search,,80,,search_boards
put spoon in pot,place the spoon inside the metal pot,search,,80,,search_boards
put spoon in pot,place the spoon in the pot,search,,80,,search_boards
put spoon in pot,place the spoon inside the pot,search,,80,,search_boards
put spoon in pot,put the spoon in the pot,search,,80,,search_boards
put spoon in pot,put the toy spoon in the pot,search,,80,,search_boards
put spoon in pot,place the spoon in the metal pot,search,,80,,search_boards
put strawberry in pot,put strawberry in pot,original,,80,,search_boards
put strawberry in pot,transfer the strawberry to the pot,search,,80,,search_boards
put strawberry in pot,move the strawberry inside the pot,search,,80,,search_boards
put strawberry in pot,move the strawberry to the pot,search,,80,,search_boards
put strawberry in pot,move the strawberry into the metal pot,search,,80,,search_boards
put strawberry in pot,put the strawberry inside the pot,search,,80,,search_boards
put strawberry in pot,move the strawberry into the pot,search,,80,,search_boards
put strawberry in pot,move the strawberry to the silver pot,search,,80,,search_boards
put stuffedduck in pan,[dry-run:gemini] 7fce974fabc9,search,0.7654724238505448,80,,loop_gemini
put stuffedduck in pan,[dry-run:gemini] dd877a9b1ea7,search,0.8845635628980515,80,,loop_gemini
put stuffedduck in pan,put stuffedduck in pan,original,,80,,search_boards
put stuffedduck in pan,put the yellow toy duck in the pot,search,,80,,search_boards
put stuffedduck in pan,place the yellow toy duck in the pot,search,,80,,search_boards
put stuffedduck in pan,put the yellow toy duck in the metal pan,search,,80,,search_boards
put stuffedduck in pan,put the yellow toy in the metal pan,search,,80,,search_boards
put stuffedduck in pan,place yellow duck in pot,search,,80,,search_boards
put stuffedduck in pan,put the yellow duck in the pan,search,,80,,search_boards
put stuffedduck in pan,place the yellow duck in the pan,search,,80,,search_boards
put sushi in pot or pan,put sushi in pot or pan,original,,80,,search_boards
put sushi in pot or pan,put red sushi inside the metal pot,search,,80,,search_boards
put sushi in pot or pan,put red sushi in the silver pot,search,,80,,search_boards
put sushi in pot or pan,place the red sushi in the pot,search,,80,,search_boards
put sushi in pot or pan,move the red sushi into the metal pot,search,,80,,search_boards
put sushi in pot or pan,place the red sushi inside the pot,search,,80,,search_boards
put sushi in pot or pan,put the red sushi in the pot,search,,80,,search_boards
put sushi in pot or pan,put the sushi inside the metal pot,search,,80,,search_boards
put sushi in pot or pan,place the sushi in the pot,search,,80,,search_boards
put sweet potato in pan which is on stove,put the sweet potato in the silver pan,search,,80,,search_boards
put sweet potato in pan which is on stove,put sweet potato in pan which is on stove,original,,80,,search_boards
put sweet potato in pan which is on stove,put the sweet potato in the silver metal pot,search,,80,,search_boards
put sweet potato in pan which is on stove,put the sweet potato in the silver pot,search,,80,,search_boards
put sweet potato in pan which is on stove,place the sweet potato in the silver pot,search,,80,,search_boards
put sweet potato in pan which is on stove,put the sweet potato into the metal pan,search,,80,,search_boards
put sweet potato in pan which is on stove,place sweet potato in the metal pot,search,,80,,search_boards
put sweet potato in pan which is on stove,put the sweet potato into the silver pan,search,,80,,search_boards
put sweet potato in pan which is on stove,put sweet potato in pot,search,,80,,search_boards
put sweet potato in pan which is on stove,put the sweet potato into the silver pot,search,,80,,search_boards
put sweet potato in pan which is on stove,place the sweet potato into the silver pot,search,,80,,search_boards
put sweet potato in pot,put sweet potato in pot,original,,80,,search_boards
put sweet potato in pot,place the sweet potato into the pot,search,,80,,search_boards
put sweet potato in pot,place the sweet potato inside the pot,search,,80,,search_boards
put sweet potato in pot,place the sweet potato in the pot,search,,80,,search_boards
put sweet potato in pot,put sweet potato into the pot,search,,80,,search_boards
put sweet potato in pot which is in sink,put the sweet potato in the pot inside the sink,search,,80,,search_boards
put sweet potato in pot which is in sink,place the sweet potato in the metal pot inside the sink,search,,80,,search_boards
put sweet potato in pot which is in sink,put the sweet potato inside the silver pot inside the sink,search,,80,,search_boards
put sweet potato in pot which is in sink,place the sweet potato in the silver pot inside the sink,search,,80,,search_boards
put sweet potato in pot which is in sink,put sweet potato in pot which is in sink,original,,80,,search_boards
put sweet potato in pot which is in sink,place the orange sweet potato in the metal pot,search,,80,,search_boards
put sweet potato in pot which is in sink,put the orange sweet potato in the silver pot,search,,80,,search_boards
put sweet potato in pot which is in sink,put the sweet potato in the metal pot inside the sink,search,,80,,search_boards
put the ball in the cup,put the ball in the cup,original,,80,,search_boards
put the ball in the cup,place the yellow block on top of the blue block,search,,80,,search_boards
put the ball in the cup,stack yellow block on top of blue block,search,,80,,search_boards
put the ball in the cup,stack the yellow block on the blue block,search,,80,,search_boards
put the blue figure on the top edge of the cloth,put the blue figure on the top edge of the cloth,original,,80,,search_boards
put the blue figure on the top edge of the cloth,place the blue block onto the top edge of the cloth,search,,80,,search_boards
put the blue figure on the top edge of the cloth,place the blue block on the top edge of the cloth,search,,80,,search_boards
put the blue figure on the top edge of the cloth,put the blue block at the top edge of the cloth,search,,80,,search_boards
put the blue figure on the top edge of the cloth,place the blue block at the top edge of the towel,search,,80,,search_boards
put the blue figure on the top edge of the cloth,put the blue block on the top section of the cloth,search,,80,,search_boards
put the blue figure on the top edge of the cloth,place the blue block on the upper edge of the cloth,search,,80,,search_boards
put the silver lid on the silver pot,put the silver lid on the silver pot,original,,80,,search_boards
put the silver lid on the silver pot,put the lid on the metal pot,search,,80,,search_boards
put the silver lid on the silver pot,put the silver lid on top of the pot,search,,80,,search_boards
put the silver lid on the silver pot,put the silver lid on the metal pot,search,,80,,search_boards
put the silver lid on the silver pot,put the silver lid on the silver bowl,search,,80,,search_boards
put the silver lid on the silver pot,place the silver lid on the metal bowl,search,,80,,search_boards
put the yellow duck in the drawer,put the yellow duck in the drawer,original,,80,,search_boards
put the yellow duck in the drawer,pick up the yellow cloth,search,,80,,search_boards
put the yellow duck in the drawer,take the yellow cloth,search,,80,,search_boards
put the yellow duck in the drawer,take the yellow rag out of the dryer,search,,80,,search_boards
put the yellow duck in the drawer,get the yellow cloth out,search,,80,,search_boards
put the yellow duck in the drawer,take out the yellow cloth,search,,80,,search_boards
right pepper shaker,right pepper shaker,original,,80,,search_boards
right pepper shaker,put the grey shaker on the right,search,,80,,search_boards
right pepper shaker,put the grey shaker next to the stove dial,search,,80,,search_boards
right pepper shaker,move the grey shaker next to the dial,search,,80,,search_boards
right pepper shaker,put the grey shaker next to the dial,search,,80,,search_boards
right pepper shaker,move the grey container to the right,search,,80,,search_boards
right pepper shaker,move the grey bottle to the top right,search,,80,,search_boards
sweep into pile,sweep the black beans into one heap,search,,80,,search_boards
sweep into pile,sweep into pile,original,,80,,search_boards
sweep into pile,sweep all the beans together,search,,80,,search_boards
sweep into pile,brush the black beans into a pile,search,,80,,search_boards
sweep into pile,brush the black beans into a heap,search,,80,,search_boards
